127.0.0.1 - - [16/Mar/2016:18:35:06 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:17:38 +0800] "GET /shop/static/images/login/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:17:38 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:17:38 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/static/css/base.css HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/static/images/login/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:08 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/static/images/login/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:15 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/static/images/login/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:16 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/static/images/login/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:19:19:39 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [16/Mar/2016:20:15:49 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/ HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/static/images/login/logo.png HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:17:49 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/static/images/login/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:21:18:49 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
